Date,Symbol,List,Entry Price,Quantity,Initial Value,Current Price,Current Value,Return %,Daily Change %
2026-01-29,ALGM,Rockets,37.61,26.5887,1000.0,37.61,1000.0,0.0,9.01
2026-01-29,APLD,Rockets,40.22,24.8633,1000.0,38.84,965.69,-3.43,-2.65
2026-01-29,BE,Rockets,165.39,6.0463,1000.0,155.74,941.68,-5.83,-5.39
2026-01-29,BKD,Rockets,14.56,68.6577,1000.0,14.57,1000.69,0.07,10.42
2026-01-29,CHRW,Rockets,194.54,5.1403,1000.0,194.54,999.99,-0.0,-1.25
2026-01-29,CIFR,Rockets,18.97,52.7148,1000.0,17.48,921.45,-7.85,-7.12
2026-01-29,CRWV,Rockets,106.02,9.4322,1000.0,98.12,925.5,-7.45,-6.67
2026-01-29,ERAS,Rockets,10.13,98.7167,1000.0,10.12,999.51,-0.05,0.25
2026-01-29,ERO,Rockets,38.4,26.0421,1000.0,38.39,999.76,-0.02,4.32
2026-01-29,FLY,Turnarounds,28.86,34.65,1000.0,27.66,958.42,-4.16,-2.95
2026-01-29,GLW,Rockets,104.28,9.5896,1000.0,102.35,981.45,-1.86,-2.33
2026-01-29,HUT,Rockets,64.6,15.4799,1000.0,62.65,969.82,-3.02,-2.72
2026-01-29,HYMC,Rockets,51.69,19.3461,1000.0,45.44,879.18,-12.08,-15.76
2026-01-29,INOD,Rockets,64.09,15.6018,1000.0,64.16,1001.01,0.1,13.46
2026-01-29,IREN,Rockets,62.94,15.8881,1000.0,60.35,958.85,-4.12,-2.57
2026-01-29,LEU,Rockets,337.76,2.9607,1000.0,297.74,881.52,-11.85,-9.52
2026-01-29,LUV,Rockets,48.41,20.6548,1000.0,48.47,1001.14,0.11,12.2
2026-01-29,MOD,Rockets,174.33,5.7362,1000.0,174.33,999.99,-0.0,16.34
2026-01-29,NG,Rockets,11.3,88.4956,1000.0,10.96,970.2,-2.98,-4.58
2026-01-29,ONDS,Rockets,12.27,81.4996,1000.0,11.32,922.58,-7.74,-7.82
2026-01-29,RDW,Turnarounds,13.29,75.2445,1000.0,12.97,975.92,-2.41,-2.99
2026-01-29,RGC,Rockets,32.29,30.9693,1000.0,28.35,877.98,-12.2,-9.31
2026-01-29,SYY,Simmering Growth,83.51,11.9746,1000.0,83.75,1002.87,0.29,-0.3
2026-01-29,TCGL,Rockets,114.3,8.7489,1000.0,114.3,1000.0,-0.0,1145.1
2026-01-29,TT,Simmering Growth,423.62,2.3606,1000.0,423.62,1000.01,0.0,7.79
2026-01-29,UMC,Rockets,11.38,87.8735,1000.0,10.52,923.99,-7.6,-8.57
2026-01-29,VIAV,Rockets,24.07,41.5541,1000.0,24.14,1003.12,0.31,8.74
2026-01-29,WULF,Rockets,15.11,66.1813,1000.0,14.52,960.81,-3.92,-2.83
