Symbol,Price,Change%,Volume,Avg Vol (3M),Market Cap,PE (TTM),EPS (TTM),Beta (5Y),RSI (14),Weekly Ret %,Monthly Ret %,YTD Ret %,52W Ret %,52W Range,Target 1Y,List
SITM,413.67,1888.4361,1.09M,348.73K,10.80B,N/A,-2.92,2.544,64.76,13.15,19.99,13.16,85.51,105.4 - 438.0,430.55557,Rockets
MCK,969.24,1791.2407000000003,1.58M,704.95K,120.56B,27.94004,34.69,0.413,73.69,17.87,17.27,18.49,60.38,570.51 - 971.06,954.4,Rockets
FORM,84.265,1773.7879,2.73M,1.09M,6.53B,122.123184,0.69,1.103,60.14,14.91,31.66,45.66,104.92,22.58 - 86.75,77.75,Rockets
KLIC,64.438,1574.9966,1.64M,652.61K,3.37B,6443.8003,0.01,1.623,62.2,9.5,20.2,37.66,51.67,26.63 - 64.7,52.66667,Rockets
ROAD,132.98,1587.8966,1.21M,480.14K,7.52B,72.271736,1.84,0.87,69.44,17.91,15.3,22.31,64.34,64.793 - 138.9,127.42857,Rockets
ENSG,196.055,1320.88,705.48K,368.11K,11.36B,35.07245,5.59,0.873,63.15,15.29,9.13,12.94,31.92,118.73 - 199.01,208.2,Other
RRX,201.38,1294.4477,3.45M,805.51K,13.37B,52.03618,3.87,1.1,79.88,24.26,27.75,41.97,31.2,90.56 - 204.81,182.27274,Other
IDCC,353.855,1273.9355,366.51K,274.72K,9.13B,23.716824,14.92,1.584,72.08,6.93,14.77,11.35,95.86,180.6 - 412.6,462.66666,Rockets
TPR,143.37,1035.2522999999999,4.54M,2.85M,29.68B,109.44275,1.31,1.608,62.74,12.6,7.65,10.95,98.53,58.39 - 145.42,135.83333,Other
CPAY,332.46,1071.6662,724.59K,592.23K,23.48B,22.105053,15.04,0.808,50.61,3.14,4.67,10.21,-14.46,252.84 - 400.81,372.85715,Other
KGS,46.78,1033.0182,3.36M,1.56M,4.01B,55.690475,0.84,1.215,90.12,13.85,31.15,25.25,3.07,29.25 - 48.14,44.27273,Other
CAH,227.51,998.7907,2.22M,2.07M,54.06B,34.263554,6.64,0.663,61.98,7.71,9.13,11.21,80.75,120.72 - 229.7,234.2,Other
AXL,9.0,948.9050000000001,8.43M,4.11M,2.12B,24.324324,0.37,1.59,71.58,11.94,40.19,39.32,75.78,3.0 - 9.0,9.775,Rockets
ITT,203.245,977.3158000000001,1.92M,876.44K,17.49B,33.874165,6.0,1.358,72.02,10.02,12.93,16.2,37.14,105.64 - 205.71,210.77779,Other
ALGN,175.99,908.71315,1.80M,1.22M,12.76B,31.148672,5.65,1.831,55.21,7.23,4.97,11.58,-18.66,122.0 - 232.2,191.06667,Other
TW,109.93,903.5906000000001,2.35M,1.26M,24.02B,37.391155,2.94,0.804,60.94,6.58,-0.71,2.45,-11.85,97.055 - 152.65,127.07692,Other
HSY,223.34,852.8112,3.87M,1.70M,45.29B,33.384155,6.69,0.169,71.96,17.21,24.58,22.73,58.08,150.04 - 225.55,199.3913,Rockets
ERAS,12.0712,739.5023,3.03M,4.88M,3.74B,N/A,-0.43,1.221,76.94,17.08,232.54,225.37,559.63,1.01 - 12.2373,11.55556,Rockets
ARM,113.98,865.2566,18.43M,5.15M,120.93B,154.02702,0.74,4.374,60.66,5.12,-1.34,1.02,-34.21,80.0 - 183.16,148.87143,Other
WMS,171.59,706.9763,1.07M,642.45K,13.34B,29.231686,5.87,1.295,67.98,11.99,14.78,18.31,48.72,93.915 - 173.75,175.9,Other
MTSI,231.74,777.10123,1.80M,1.28M,17.38B,N/A,-0.73,1.43,58.9,1.76,34.91,32.59,70.74,84.0 - 236.8,212.13333,Rockets
ASX,20.25,663.5072,11.32M,7.09M,44.18B,41.32653,0.49,1.068,59.67,2.38,15.71,21.48,107.91,6.94 - 20.49,20.60948,Rockets
OHI,46.09,728.5850499999999,2.48M,1.86M,14.00B,23.75773,1.94,0.553,59.18,6.17,3.85,4.32,28.88,35.04 - 46.36,47.125,Other
SIRI,22.36,786.30056,21.79M,4.07M,7.53B,5.4938574,4.07,0.948,65.59,11.47,3.42,11.3,-9.02,18.69 - 27.41,24.0,Other
COR,353.18,703.0986300000001,1.84M,1.39M,68.70B,42.44952,8.32,N/A,48.73,0.31,2.03,4.75,40.52,237.71 - 377.54,399.4,Other
