Date,Symbol,List,Entry Price,Quantity,Initial Value,Current Price,Current Value,Return %
2026-01-29,RDW,Turnarounds,13.29,75.2445,1000.0,13.29,1000.0,-0.0
2026-01-29,FLY,Turnarounds,28.86,34.65,1000.0,28.86,1000.0,-0.0
2026-01-29,GLW,Rockets,104.28,9.5896,1000.0,104.28,1000.0,0.0
2026-01-29,IREN,Rockets,62.94,15.8881,1000.0,62.94,1000.0,-0.0
2026-01-29,APLD,Rockets,40.22,24.8633,1000.0,40.22,1000.0,0.0
2026-01-29,CIFR,Rockets,18.97,52.7148,1000.0,18.97,1000.0,-0.0
2026-01-29,NG,Rockets,11.3,88.4956,1000.0,11.3,1000.0,0.0
2026-01-29,WULF,Rockets,15.11,66.1813,1000.0,15.11,1000.0,-0.0
2026-01-29,SYY,Simmering Growth,83.51,11.9746,1000.0,83.51,1000.0,-0.0
2026-01-29,CRWV,Rockets,106.02,9.4322,1000.0,106.02,1000.0,0.0
2026-01-29,HYMC,Rockets,51.69,19.3461,1000.0,51.69,1000.0,-0.0
2026-01-29,UMC,Rockets,11.38,87.8735,1000.0,11.38,1000.0,0.0
2026-01-29,ONDS,Rockets,12.27,81.4996,1000.0,12.27,1000.0,0.0
2026-01-29,LEU,Rockets,337.76,2.9607,1000.0,337.76,1000.01,0.0
2026-01-29,RGC,Rockets,32.29,30.9693,1000.0,32.29,1000.0,-0.0
2026-01-29,HUT,Rockets,64.6,15.4799,1000.0,64.6,1000.0,0.0
2026-01-29,ERAS,Rockets,10.13,98.7167,1000.0,10.13,1000.0,0.0
2026-01-29,BE,Rockets,165.39,6.0463,1000.0,165.39,1000.0,-0.0
