Date,Symbol,List,Entry Price,Quantity,Initial Value,Current Price,Current Value,Return %,Daily Change %
2026-02-05,SITM,Rockets,416.65,2.4001,1000.0,413.39,992.18,-0.78,4.39
2026-02-05,FORM,Rockets,84.44,11.8427,1000.0,84.26,997.87,-0.21,0.01
2026-02-05,MCK,Rockets,969.66,1.0313,1000.0,969.24,999.58,-0.04,16.03
2026-02-05,KLIC,Rockets,64.42,15.5237,1000.0,64.44,1000.35,0.03,5.64
2026-02-05,ROAD,Rockets,132.24,7.562,1000.0,132.67,1003.25,0.33,15.67
2026-02-05,IDCC,Rockets,354.25,2.8229,1000.0,353.86,998.9,-0.11,12.98
2026-02-05,AXL,Rockets,9.0,111.1111,1000.0,9.0,1000.0,-0.0,7.4
2026-02-05,HSY,Rockets,223.79,4.4685,1000.0,223.35,998.04,-0.2,8.53
2026-02-05,ERAS,Rockets,12.19,82.0345,1000.0,12.07,990.25,-0.97,7.49
2026-02-05,MTSI,Rockets,230.88,4.3313,1000.0,231.74,1003.74,0.37,10.58
2026-02-05,ASX,Rockets,20.3,49.249,1000.0,20.25,997.29,-0.27,4.54
